songplays_id,track_id,track_name,track_duration,track_is_explicit,track_popularity,track_played_at,album_id,album_name,album_release_year,album_type,artist_name,artist_name_others,artist_id,artist_id_others,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,artist_popularity,artist_followers,artist_genre,artist_genre_others
21,4oYN44rloSqxabqrSgIani,Algo Musical,3.490866666666667,False,52,2021-08-30 20:51:25,5uLpJQSoYXqglBHaG8MbPx,Exitos,2016,album,Ñejo & Dalmata,"Daddy Yankee, Arcangel",1ykothWH0xl8drRyJWuw7I,"4VMYDCV2IEDYJArk749S6m, 4SsVbpTthjScTS7U2hmr1X",0.883,0.626,1,-7.541,1,0.0853,0.0648,4.24e-06,0.0594,0.565,65,854231,latin,"latin hip hop, reggaeton, reggaeton flow, trap latino"
22,5X9daJT0Qg5yLIvUqwPKkX,Quisiera Alejarme (feat. Ozuna),3.740666666666667,False,51,2021-08-30 20:46:44,6I32dRerwcm3jYRsprxb5k,Victory,2017,album,Wisin,Ozuna,3E6xrwgnVfYCrCs0ePERDz,1i8SpTcr7yvPOmcqrbnVXY,0.708,0.867,8,-3.376,1,0.0577,0.169,6.16e-05,0.236,0.77,87,6976574,latin,"latin hip hop, reggaeton, trap latino"
23,7LfXCNzYnWfTeDRDe1sU08,Tuve un Sueno,3.1584333333333334,False,41,2021-08-30 20:42:59,7j07WDJHBIEwhu7mkbT9bI,The Royalty,2008,album,R.K.M & Ken-Y,,3jFjgKOGfVLWfXX8q5wrsg,,0.77,0.732,4,-6.459,0,0.0618,0.269,0.00681,0.101,0.736,68,449055,latin,"latin hip hop, reggaeton, trap latino"
24,44TC5aRgZNjNUsEIomiL6V,Juguetona - Remix,4.400216666666667,False,21,2021-08-30 20:39:49,5lDbYt6qbIky5H6ARiYs50,Juguetona (Remix),2016,album,Yomo,"Wisin, Farruko, Tito ""El Bambino""",4myAXQmMuS1lZe8T6Y7eBg,"3E6xrwgnVfYCrCs0ePERDz, 329e4yvIujISKGKz1BZZbO, 5fJsY7afrbsyzJj9wdzJMh",0.794,0.793,4,-4.319,0,0.171,0.0151,0.0,0.419,0.916,61,685993,latin,"latin hip hop, reggaeton, reggaeton flow, trap latino"
25,3AQ1zVx39FvB4yH0bjGgPm,Imaginándote (feat. Daddy Yankee),3.7579833333333332,False,49,2021-08-30 20:34:01,6BMQRp3DPyat7H0flaMQzJ,Imaginándote (feat. Daddy Yankee),2015,album,Reykon,Daddy Yankee,3PAwspMN27PDm81WwXDsMf,4VMYDCV2IEDYJArk749S6m,0.706,0.86,5,-3.014,0,0.0604,0.172,0.0,0.183,0.505,67,2528047,latin,"latin hip hop, latin pop, perreo, reggaeton, reggaeton colombiano, reggaeton flow, trap latino"
26,6jFKYSOk7efjSNTd3GNwQH,Algaretismo - Remix,4.513766666666666,False,20,2021-08-30 20:29:41,5Lzr7VkDYQEfE6CrMfoevz,La Esencia: World Edition,2018,album,Alexis y Fido,"Arcangel, De La Ghetto",7tU1VKOuxiNZwBZC6RHidA,"4SsVbpTthjScTS7U2hmr1X, 3EiLUeyEcA6fbRPSHkG5kb",0.707,0.919,1,-3.947,0,0.206,0.0894,0.0,0.933,0.855,69,3757393,latin,"latin hip hop, reggaeton, reggaeton flow, trap latino"
27,5TckMzAJdjfyeiDZ3xJzKe,Se rindió,3.5344166666666665,False,42,2021-08-30 17:45:01,0vBFa64sBqdd26KKIj4SKZ,La Promesa,2017,album,Justin Quiles,,14zUHaJZo1mnYtn6IBRaRP,,0.502,0.766,5,-4.583,0,0.135,0.504,4.63e-06,0.081,0.798,88,2933626,latin,"reggaeton, trap latino"
28,2JsvCAzWpIryTb3jEzhL8m,Forever Alone,3.2570333333333332,True,29,2021-08-30 17:41:28,4Z0l4cuznDAsB2DytEF6uy,Imperio Nazza (Farruko Edition),2013,album,Farruko,,329e4yvIujISKGKz1BZZbO,,0.514,0.847,11,-5.607,1,0.141,0.0478,0.0,0.341,0.652,92,10635186,latin,"reggaeton, trap latino"
29,15JgmxSEGcupkAwSEidmly,DM,3.3949833333333332,False,49,2021-08-30 17:37:33,2nRRfeEazBN10vZdPFmQME,Infinity,2021,album,Nicky Jam,Manuel Turizo,1SupJlEpv7RS2tPNRaHViT,0tmwSHipWxN12fsoLcFU3B,0.786,0.805,6,-3.612,0,0.105,0.118,2.11e-05,0.189,0.902,90,14926174,latin,"latin hip hop, reggaeton, trap latino"
30,5vvBs55tKriAoArPaqoIhA,Masoquista,3.1508833333333333,False,45,2021-08-30 17:33:56,5ei2FUEslnFcCvVhADSNw1,Masoquista,2020,album,Tempo,Nicky Jam,76whng5pl9msPkkjFUtWYn,1SupJlEpv7RS2tPNRaHViT,0.76,0.731,9,-2.489,0,0.149,0.429,0.0,0.0548,0.809,62,699574,latin,"latin hip hop, reggaeton, reggaeton flow, trap latino"
31,40rXWke6SnXiGkSmaT8ZUr,Fantasía,2.919766666666667,False,58,2021-08-30 17:30:47,7f6r6ijWtMJ0QYydwuCYvH,Nibiru,2019,album,Ozuna,,1i8SpTcr7yvPOmcqrbnVXY,,0.695,0.719,2,-5.938,1,0.0903,0.227,0.000171,0.0884,0.781,92,29407403,latin,"puerto rican pop, reggaeton, trap latino"
32,5mj8WVFcKdGA8p9HWGTSLc,Cuando Perriabas,3.144233333333333,True,65,2021-08-30 17:27:51,7CjJb2mikwAWA1V6kewFBF,X 100PRE,2018,album,Bad Bunny,,4q3ewBCX7sLwd24euuV69X,,0.787,0.705,0,-7.582,1,0.0695,0.137,1.06e-06,0.108,0.499,100,36717821,latin,"reggaeton, trap latino"
33,3uvypVUsiIr1B0BccIcsEh,6 AM,4.053766666666666,False,69,2021-08-30 17:23:58,5Fqdd85mAoGDp0K9lmbPDp,La Familia,2013,album,J Balvin,Farruko,1vyhD5VmyZ7KMfW5gqLgo5,329e4yvIujISKGKz1BZZbO,0.746,0.746,5,-5.046,0,0.102,0.152,0.0,0.274,0.733,97,29321780,latin,"reggaeton, reggaeton colombiano, trap latino"
34,1v6aYdzKwVVItHiReiZdCR,Química Sustancia,4.6288833333333335,False,39,2021-08-30 17:19:54,5MLBEmgDNIltSfxvXesq9s,El Fenomeno,2008,album,Arcangel,Don Omar,4SsVbpTthjScTS7U2hmr1X,33ScadVnbm2X8kkUqOkC6Z,0.766,0.505,10,-6.483,0,0.0932,0.0272,0.00155,0.762,0.438,86,6728500,latin,"latin hip hop, reggaeton, trap latino"
35,4xpkpFN38ZUGTNH4majHuu,BREAK UP,3.35755,False,48,2021-08-30 17:15:11,444LqH6QlvR62nY8Vxn37u,BAHÍA DUCATI,2020,album,Feid,De La Ghetto,2LRoIwlKmHjgvigdNGBHNo,3EiLUeyEcA6fbRPSHkG5kb,0.801,0.549,11,-6.485,1,0.132,0.0939,6.4e-05,0.0782,0.652,82,644758,colombian pop,"latin, pop reggaeton, reggaeton, reggaeton colombiano, trap latino"
